x,y,diameter
2631.5,2998.5,21.02
2791.0,2998.5,24.02
2950.5,2998.0,27.07
3107.5,2997.5,27.17
3264.5,2997.0,29.27
3421.0,2996.0,28.64
3578.0,2995.86,28.69
3737.5,2995.0,29.61
3899.53,2997.5,29.09
4067.5,2998.0,23.09
